user.self,sys.self,elapsed,user.child,sys.child,meth,size
4.317,0.9870000000000001,2.219000000000051,0.0010000000000000009,0.0010000000000000009,readr,1.963204005
0.8629999999999995,0.18999999999999995,0.5419999999999163,0,0,readr,0.494723378
1.9480000000000004,0.7280000000000002,1.6520000000000437,0,0,readr,1.217186978
2.407,1.1410000000000005,2.375,0,0,readr,1.51165768
2.7360000000000024,1.0750000000000002,2.4670000000000982,0,0,readr,1.727614891
3.7349999999999994,1.6599999999999993,3.4470000000001164,0,0,readr,2.355847364
3.4029999999999987,1.4780000000000006,3.185999999999922,0,0,readr,2.159524173
4.120000000000001,1.9250000000000007,3.9069999999999254,0,0,readr,2.611069292
4.652999999999999,2.0920000000000005,4.211999999999989,0,0,readr,2.944813238
5.2280000000000015,2.1980000000000004,4.449000000000069,0,0,readr,3.317817703
2.921999999999997,0.5670000000000002,8.401999999999816,0,0,fread,1.963204005
0.6099999999999994,0.0779999999999994,1.4669999999998709,0,0,fread,0.494723378
1.5290000000000035,0.4089999999999989,5.461999999999989,0,0,fread,1.217186978
1.9269999999999996,0.45899999999999963,6.352000000000089,0,0,fread,1.51165768
2.1880000000000024,0.5040000000000013,7.171000000000049,0,0,fread,1.727614891
2.9370000000000047,0.6900000000000013,9.715000000000146,0,0,fread,2.355847364
2.7049999999999983,0.6060000000000016,8.694000000000187,0,0,fread,2.159524173
3.2250000000000014,0.7540000000000013,10.594000000000051,0,0,fread,2.611069292
3.543999999999997,0.8190000000000026,11.796000000000049,0,0,fread,2.944813238
4.0560000000000045,0.9009999999999998,13.194000000000187,0,0,fread,3.317817703
2.433000000000007,0.536999999999999,7.948000000000093,0,0,import,1.963204005
0.6280000000000001,0.0920000000000023,1.5930000000000746,0,0,import,0.494723378
1.5120000000000005,0.41300000000000026,5.457000000000107,0,0,import,1.217186978
1.858000000000004,0.4089999999999989,5.8840000000000146,0,0,import,1.51165768
2.122,0.44099999999999895,6.477000000000089,0,0,import,1.727614891
2.8629999999999995,0.6119999999999983,9.034999999999854,0,0,import,2.355847364
2.635000000000005,0.5350000000000001,8.008999999999787,0,0,import,2.159524173
3.3130000000000024,0.6780000000000008,9.811999999999898,0,0,import,2.611069292
3.6260000000000048,0.8520000000000003,12.006000000000085,0,0,import,2.944813238
4.067999999999998,0.9529999999999994,13.753000000000156,0.01200000000000001,0.017999999999999988,import,3.317817703
